time_s,theta_roll,omega_roll,control_roll,disturbance_roll,theta_pitch,omega_pitch,control_pitch,disturbance_pitch,theta_yaw,omega_yaw,control_yaw,disturbance_yaw
11719.0,0.0005380052075564614,3.4351037078783916e-07,-2.713638472592333e-05,2.812138569572013e-05,0.00047436371878476315,-4.96968076953635e-07,-1.7380206318021427e-05,1.8845382581011078e-05,-5.751656681199771e-05,-1.3837882701682434e-06,5.3804257298353784e-06,-4.59842255161154e-06
11721.0,0.0005387261312350274,3.6677098195255383e-07,-2.725753899636028e-05,2.8770826679446957e-05,0.00047340990850893116,-4.7067671467641205e-07,-1.742699757848615e-05,1.8671693804331906e-05,-6.027706570837056e-05,-1.380954619649048e-06,5.457263475809471e-06,-5.5703332685912085e-06
11723.0,0.0005395024643416516,3.955651251385164e-07,-2.7403813945514235e-05,2.9178278056713106e-05,0.00047249771851381355,-4.5202492953840287e-07,-1.745207839586571e-05,1.8265341018819102e-05,-6.306510018172264e-05,-1.4001201497594217e-06,5.591297178888802e-06,-6.567365217844226e-06
11725.0,0.0005403378141252942,4.248774272584161e-07,-2.7556372933192948e-05,2.9283710101223567e-05,0.00047160683420010673,-4.4424478205939845e-07,-1.744399759503375e-05,1.7683087879414442e-05,-6.592000869423238e-05,-1.437901924345255e-06,5.775797991737793e-06,-7.446459392666546e-06
11727.0,0.000541225532609143,4.496113980454817e-07,-2.7695344831056743e-05,2.9074733448343916e-05,0.00047071300558576725,-4.4884992456473533e-07,-1.7396523062455088e-05,1.7009452190367025e-05,-6.886985448615727e-05,-1.4879758855534764e-06,5.996041286034209e-06,-8.08314932558621e-06
11729.0,0.000542149767550551,4.6539406252764057e-07,-2.7802961337737967e-05,2.858855519841112e-05,0.0004697918798695365,-4.65396633176516e-07,-1.730962580875844e-05,1.6343362545354787e-05,-7.192699098844364e-05,-1.5420753057736262e-06,6.231631276250464e-06,-8.391211533997163e-06
11731.0,0.0005430879665693138,4.692663662216734e-07,-2.7866362300822837e-05,2.7906104829240757e-05,0.00046882285021841643,-4.915538666723288e-07,-1.7189484688493233e-05,1.5782539820249027e-05,-7.508610751359042e-05,-1.5912959443979533e-06,6.4597209939189795e-06,-8.336278240666973e-06
11733.0,0.000544014439097534,4.601503533203723e-07,-2.7879626157752335e-05,2.7139257307082852e-05,0.00046779231313980377,-5.234712911923201e-07,-1.7047511042615236e-05,1.5408069337387996e-05,-7.832506376663731e-05,-1.6275018538279028e-06,6.658619253888471e-06,-7.94126321987193e-06
11735.0,0.0005449044137971759,4.390193606623607e-07,-2.784470491678157e-05,2.6413170585852738e-05,0.0004666958201709682,-5.56387167996799e-07,-1.6898547243263105e-05,1.5271599417388548e-05,-8.160838142545201e-05,-1.6446098888752817e-06,6.811215147126207e-06,-7.282744147346462e-06
11737.0,0.0005457379508683194,4.0874435762421973e-07,-2.7771116083519132e-05,2.584652601514962e-05,0.000465538784181083,-5.853801320682654e-07,-1.6758523553402964e-05,1.538718738568695e-05,-8.489284154650372e-05,-1.63955012378116e-06,6.907679410930587e-06,-6.478872601449478e-06
11739.0,0.0005465030915802434,3.7364069143240955e-07,-2.7674440160506672e-05,2.5532791262137652e-05,0.0004643356287762494,-6.061461722395529e-07,-1.664194323135779e-05,1.572908037007454e-05,-8.813430408889367e-05,-1.6127505480997396e-06,6.9470161888102925e-06,-5.670720460514544e-06
11741.0,0.0005471977477838071,3.3878679698990597e-07,-2.7573860924569385e-05,2.5525463919936284e-05,0.0004631075150975366,-6.156781448315094e-07,-1.6559592931526294e-05,1.623578125250423e-05,-9.129467290325419e-05,-1.5680695186617223e-06,6.93722018954806e-06,-5.000007690086165e-06
11743.0,0.0005478300330922465,3.092224317458895e-07,-2.7489136840860794e-05,2.58296255122787e-05,0.00046187900490060195,-6.127405404637224e-07,-1.6516839866559785e-05,1.6819757850771636e-05,-9.434790656774345e-05,-1.51218663191239e-06,6.894014437779662e-06,-4.586727812712049e-06
11745.0,0.0005484169834442329,2.8915301686914363e-07,-2.743748173456521e-05,2.6401139331385378e-05,0.0004606741867427677,-5.980645488901159e-07,-1.651278459026964e-05,1.7381262463770788e-05,-9.728412609123127e-05,-1.4535481845479543e-06,6.83836789154504e-06,-4.510203506629396e-06
11747.0,0.0005489818690437431,2.8128570164434826e-07,-2.7430847215720566e-05,2.7153618752801927e-05,0.00045951287686785375,-5.742326253152719e-07,-1.6540403136266107e-05,1.782407997797731e-05,-0.00010011117096837057,-1.401033710974611e-06,6.793184846247728e-06,-4.796563237768505e-06
11749.0,0.0005495505220624885,2.864019719875612e-07,-2.747403588072762e-05,2.7972065883503977e-05,0.0004584074945847103,-5.452707826959676e-07,-1.6587656090528994e-05,1.8070718255426023e-05,-0.00010285335791924672,-1.3625541220213585e-06,6.779688791645346e-06,-5.4146160894976564e-06
11751.0,0.0005501472598794212,3.032342788081359e-07,-2.7563943201940745e-05,2.8731027300608036e-05,0.0004573611054488327,-5.160129780577126e-07,-1.663938949076485e-05,1.8074642574913072e-05,-0.00010554763828132258,-1.3438027679826596e-06,6.814071631801572e-06,-6.280776063793271e-06
11753.0,0.0005507910474880791,3.2866616368743447e-07,-2.769004776482954e-05,2.931440048874694e-05,0.0004563669411852402,-4.913379423339701e-07,-1.6679727442187424e-05,1.7827622577168235e-05,-0.00010823776071704693,-1.3473566056515115e-06,6.904937284634897e-06,-7.272258414946753e-06
11755.0,0.0005514925049431371,3.582242868698553e-07,-2.7836072470963837e-05,2.9633763975145518e-05,0.00045540947214614655,-4.7539894140265496e-07,-1.6694578710579122e-05,1.7361031792894006e-05,-0.00011096736081650998,-1.3722693753259384e-06,7.051943256475359e-06,-8.246464604876012e-06
11757.0,0.0005522522323044057,3.867846766466641e-07,-2.7982554446436487e-05,2.9642337237095293e-05,0.0004544668629859113,-4.709680722090892e-07,-1.6673861557976933e-05,1.6740894586767676e-05,-0.00011377306859596331,-1.4142210161619666e-06,7.24585466300289e-06,-9.063495421816552e-06
11759.0,0.0005530607165323755,4.093816992512444e-07,-2.8109917905432227e-05,2.9342366419391083e-05,0.00045351442385596353,-4.789986150959776e-07,-1.6613095562249657e-05,1.6057462496033305e-05,-0.00011667872206533744,-1.4661997305110833e-06,7.470002161013028e-06,-9.608237935981849e-06
11761.0,0.0005538998350344899,4.219920305631928e-07,-2.8201564843012556e-05,2.8784769819325372e-05,0.0004525285122517532,-4.984745374239558e-07,-1.6514109113854807e-05,1.541096563062337e-05,-0.0001196916004158096,-1.5196090142342115e-06,7.702913620875206e-06,-9.808539247522796e-06
11763.0,0.000554745718485084,4.2216985773973355e-07,-2.824649560557477e-05,2.806109910936168e-05,0.00045149026949603885,-5.265709084190055e-07,-1.638475089373362e-05,1.4895788675428547e-05,-0.0001228012715238722,-1.5656248773048842e-06,7.921704054404198e-06,-9.646597791589684e-06
11765.0,0.0005555725209422984,4.094330264413125e-07,-2.8241045598006395e-05,2.7289085443654345e-05,0.0004503886019493151,-5.590998993486775e-07,-1.623765087018913e-05,1.4585569756013579e-05,-0.0001259812357257005,-1.5965889793700543e-06,8.105688602199387e-06,-9.161773763888017e-06
11767.0,0.000556356502043509,3.853391694680389e-07,-2.8189463951466367e-05,2.659405240038882e-05,0.00044922193628037666,-5.911719553531042e-07,-1.608822643947832e-05,1.4521574729239821e-05,-0.0001291931063458511,-1.6072177348070297e-06,8.239648172467271e-06,-8.444374962331322e-06
11769.0,0.0005570797767899942,3.532397977131699e-07,-2.810324279455441e-05,2.608913024762732e-05,0.00044799847167771296,-6.179677544784101e-07,-1.5952248493400928e-05,1.470618234266602e-05,-0.00013239266696662868,-1.5954364961803541e-06,8.316232155028894e-06,-7.621399123742045e-06
11771.0,0.0005577331409123017,3.177511772576799e-07,-2.7999302995843758e-05,2.585739526503966e-05,0.000446734889183319,-6.354990785410043e-07,-1.584335167610585e-05,1.510250881281383e-05,-0.0001355368491284452,-1.5627071168782837e-06,8.337118875560332e-06,-6.836483727139061e-06
11773.0,0.0005583175257530047,2.840255292248072e-07,-2.7897322848719798e-05,2.5938753929882088e-05,0.0004454537219162684,-6.412384710774792e-07,-1.577088190564449e-05,1.5640231093128553e-05,-0.0001385905288355311,-1.5137971780064994e-06,8.312750581875386e-06,-6.2272287487997795e-06
11775.0,0.0005588438529726661,2.569376140734176e-07,-2.7816631409325194e-05,2.632364266586145e-05,0.0004441798013701649,-6.345182731314064e-07,-1.5738420987894272e-05,1.622668946566746e-05,-0.0001415320688483273,-1.4560273134630596e-06,8.260684802507305e-06,-5.903472607436499e-06
11777.0,0.0005593313120175651,2.403151207329054e-07,-2.7773156971358383e-05,2.6954537825998902e-05,0.0004429363408356139,-6.166360380208627e-07,-1.5743221265743593e-05,1.676151660139831e-05,-0.00014435673175614203,-1.3981154641192148e-06,8.202822355459867e-06,-5.92995105008095e-06
11779.0,0.0005598043322990632,2.3633436525721966e-07,-2.7776912452695872e-05,2.7735037516392345e-05,0.0004417412742890727,-5.906496824077129e-07,-1.577663954114415e-05,1.7152483482161985e-05,-0.00014707742498104782,-1.3488005278619835e-06,8.161949653821465e-06,-6.31607675927539e-06
11781.0,0.0005602887281106355,2.4517670475637844e-07,-2.7830414678514982e-05,2.8545081440589226e-05,0.0004406044287567591,-5.608947146567692e-07,-1.582550177385357e-05,1.7330060461627684e-05,-0.00014972266009288855,-1.3154627009548322e-06,8.15814119190578e-06,-7.014453256877943e-06
11783.0,0.0005608076249151648,2.649999115274432e-07,-2.792828715311289e-05,2.9259905885786678e-05,0.00043952597657544726,-5.322997597135943e-07,-1.5874183104413936e-05,1.7258394593886564e-05,-0.00015233204861499165,-1.3029583284261438e-06,8.205590188022745e-06,-7.928357726380352e-06
11785.0,0.0005613778101520416,2.9222902648048026e-07,-2.8058108986134694e-05,2.9769741275316702e-05,0.0004384964119035293,-5.096084439327575e-07,-1.5907074804758198e-05,1.6940970150863897e-05,-0.00015495004543326075,-1.3128532150271368e-06,8.310367751581303e-06,-8.927011380628088e-06
11787.0,0.0005620070846912817,3.2212077281494016e-07,-2.8202376001575377e-05,2.999714247696954e-05,0.00043749805519093904,-4.966304871963017e-07,-1.591104867960196e-05,1.6420058657311598e-05,-0.00015761892758701885,-1.3431754400660927e-06,8.469464351881748e-06,-9.866226519625208e-06
11789.0,0.0005626930330814172,3.49512421150751e-07,-2.8341264368057226e-05,2.990921579253587e-05,0.00043650784808504077,-4.956402383359542e-07,-1.587752984722239e-05,1.577004527076095e-05,-0.00016037211693551296,-1.3887267012333005e-06,8.671264926801893e-06,-1.0611170561994128e-05
11791.0,0.0005634234067419379,3.6963687698616326e-07,-2.8455760457056478e-05,2.952281225574697e-05,0.0004355009975179637,-5.070176120532153e-07,-1.5803850653588745e-05,1.5085685124297144e-05,-0.00016322890090463522,-1.441903033095969e-06,8.897382609532367e-06,-1.1057653110041666e-05
11793.0,0.0005641780596023641,3.7887530599347926e-07,-2.8530662790368165e-05,2.8901867331054433e-05,0.00043445489365446366,-5.291881152245733e-07,-1.569367195668582e-05,1.4467143697411389e-05,-0.0001661913847912504,-1.4938953267968157e-06,9.125561581874153e-06,-1.114857528891352e-05
11795.0,0.0005649321305931465,3.753284742094908e-07,-2.8556982132713175e-05,2.814730701630453e-05,0.0004333526831420584,-5.588714314097149e-07,-1.5556405288059753e-05,1.400418301143318e-05,-0.0001692441567893592,-1.536080115370243e-06,9.333190747665664e-06,-1.0882944370867847e-05
11797.0,0.0005656599705424439,3.5911660102790503e-07,-2.8533360799978835e-05,2.7381113953752163e-05,0.0004321859335256591,-5.91599317352137e-07,-1.5405727099409472e-05,1.3761990301577643e-05,-0.00017235671862302234,-1.561381050206607e-06,9.500873498090452e-06,-1.0316030473700875e-05
11799.0,0.0005663391935085305,3.323603848346358e-07,-2.84662871301191e-05,2.6727069160108464e-05,0.0004309559681744702,-6.224210470685891e-07,-1.5257419678321903e-05,1.3770886506676517e-05,-0.000175488298042141,-1.5653861214782583e-06,9.615489984349193e-06,-9.55064059408313e-06
11801.0,0.0005669542129309108,2.9884619696382976e-07,-2.8369071218884003e-05,2.6291209832998917e-05,0.00042967366096508794,-6.4668502940455e-07,-1.5126879592814067e-05,1.4021539379781882e-05,-0.00017859428339394903,-1.5470442380098225e-06,9.672268422780974e-06,-8.72088761406951e-06
11803.0,0.0005674987043197082,2.634283023378153e-07,-2.8259743672486654e-05,2.6145088516484725e-05,0.00042835772313599925,-6.607731988242076e-07,-1.5026687034264677e-05,1.4466436964217585e-05,-0.00018163326439283854,-1.5088311919430918e-06,9.675538432105389e-06,-7.971016797760156e-06
11805.0,0.0005679766056785329,2.3126248317363135e-07,-2.8158209075500524e-05,2.6314476635307668e-05,0.0004270317527810258,-6.626722353130667e-07,-1.4964619804384687e-05,1.5027388805609717e-05,-0.00018457356750548756,-1.4563588059646887e-06,9.63804745845177e-06,-7.4326326087178896e-06
11807.0,0.0005684014977160048,2.0699205965179527e-07,-2.8083103610443323e-05,2.6775295861406426e-05,0.00042572051280213705,-6.522914302673278e-07,-1.4942425490653746e-05,1.5607870623443017e-05,-0.00018739825415753727,-1.397488970261909e-06,9.578948207133783e-06,-7.203921232938989e-06
11809.0,0.0005687944616965892,1.9401481691216271e-07,-2.804885293303544e-05,2.7457419660458953e-05,0.000424446024950554,-6.314770144141199e-07,-1.4955545682161737e-05,1.6108263489947643e-05,-0.0001901077926548712,-1.3410924432022278e-06,9.520774832421621e-06,-7.334149114120846e-06
11811.0,0.0005691807531288967,1.939465746419213e-07,-2.8063394779150646e-05,2.8255744837835902e-05,0.00042322409662118017,-6.037206856031995e-07,-1.4993835759694885e-05,1.6441581585038643e-05,-0.0001927199819818771,-1.2956483738361631e-06,9.48588526847657e-06,-7.815884841669913e-06
11813.0,0.0005695858164429099,2.0636608973427099e-07,-2.812692590146923e-05,2.9046785130288318e-05,0.00042206182874315266,-5.736083536395193e-07,-1.5043166629121933e-05,1.654720546062701e-05,-0.00019526713950685225,-1.267905650848281e-06,9.492931382372951e-06,-8.586172384292349e-06
11815.0,0.0005700312698500636,2.2888156608406576e-07,-2.8231871108960035e-05,2.9708167080100464e-05,0.00042095649821540865,-5.460961331201087e-07,-1.5087655510705947e-05,1.6400452633831328e-05,-0.00019779099659404374,-1.261817421464002e-06,9.553914238156097e-06,-9.536470441382755e-06
11817.0,0.0005705314942893536,2.5750827161860553e-07,-2.8364079333570967e-05,3.0137950221832086e-05,0.0004198959913263096,-5.257278891338422e-07,-1.5112173598115484e-05,1.601647452285739e-05,-0.0002003361079926585,-1.2779169963956145e-06,9.672289372947894e-06,-1.0529788707151025e-05
11819.0,0.0005710913649888443,2.8729764447435197e-07,-2.8505057899864488e-05,3.0270721348986182e-05,0.0004188607197296013,-5.159178681417997e-07,-1.5104734680134376e-05,1.544786448505658e-05,-0.00020294281551546368,-1.3132336717407136e-06,9.842421225697526e-06,-1.1422315608185416e-05
11821.0,0.0005717054837793106,3.131185668330454e-07,-2.8634892213824212e-05,3.008792192975381e-05,0.0004178267164861182,-5.184116708448644e-07,-1.5058387616766584e-05,1.4776354595354714e-05,-0.00020564087688702771,-1.3617617575648752e-06,1.0050472857670822e-05,-1.208612297022115e-05
11823.0,0.0005723590333605086,3.304674601070444e-07,-2.8735389961761753e-05,2.9620778199967385e-05,0.00041676942337445506,-5.330106675853442e-07,-1.4972313885781717e-05,1.4099912061166185e-05,-0.00020844476562603968,-1.41540876403381e-06,1.0276590481951601e-05,-1.242936304646013e-05
11825.0,0.0005730301186501445,3.361793054542509e-07,-2.8792953385630274e-05,2.894537133599943e-05,0.0004156675715373804,-5.576033650056372e-07,-1.4851956921871035e-05,1.3517272466147713e-05,-0.00021135138400721077,-1.465273047256953e-06,1.0498037928247703e-05,-1.24107692407566e-05
