time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,altitude_km,speed_mps,density_kgm3,sunlight,q_norm,q0,q1,q2,q3,wx_rads,wy_rads,wz_rads,control_x_Nm,control_y_Nm,control_z_Nm,disturbance_x_Nm,disturbance_y_Nm,disturbance_z_Nm
6780.0,2229539.7769944565,4025644.4914259207,5090271.205918414,-7204.166163752355,1575.145781468289,1927.766029285137,483.89783948824464,7622.16348627458,8.966385833365026e-13,1.0,0.9999999741310277,0.9999998880134437,-0.0002450267411570117,-9.020767941228462e-05,0.000322582743908514,-6.258541186723274e-07,4.887146328411187e-07,-1.1846181030517041e-06,1.0550411146285743e-05,3.6722405818730605e-06,-1.0372845890834134e-05,-1.0520100028549221e-05,-3.6142182672656345e-06,1.0257652155760459e-05
6790.0,2157361.9832765614,4041146.923781303,5109233.111657695,-7231.155674651279,1525.512858707042,1864.8345578166936,484.03045465552157,7621.968892691003,8.947774003207918e-13,1.0,0.9999999741308926,0.9999998893880298,-0.0002481288574558231,-8.773215596322837e-05,0.0003165767728301568,-6.148951000582972e-07,5.023841811388261e-07,-1.2171887928358449e-06,1.0661382637162008e-05,3.535004649092412e-06,-1.012250909735564e-05,-1.0630324753477971e-05,-3.4782536853272997e-06,1.0009668378917879e-05
6800.0,2084918.770508867,4056152.101224798,5127564.5686099725,-7257.2531139276625,1475.6965473095038,1801.6784591219962,484.1639663781812,7621.774618119993,8.929075371972669e-13,1.0,0.9999999741307533,0.9999998907805153,-0.00025117552198071654,-8.518907338438173e-05,0.0003104096384662847,-6.036724120616048e-07,5.157475023300581e-07,-1.2490790625061675e-06,1.0769820342946531e-05,3.394938043693728e-06,-9.867082777841462e-06,-1.0738031605382868e-05,-3.3394872938972077e-06,9.756651134820855e-06
6810.0,2012219.074795917,4070658.2206354016,5145263.369611634,-7282.455437256156,1425.7029842324857,1738.3055342202438,484.29836194450223,7621.580697281365,8.910292420550522e-13,1.0,0.9999999741306096,0.999999892187067,-0.000254165430584983,-8.257997953232404e-05,0.0003040847829316348,-5.92191814052804e-07,5.287977796996619e-07,-1.2802730905621163e-06,1.087567898901767e-05,3.252124243164434e-06,-9.606707424279662e-06,-1.0843175734159224e-05,-3.198002084570788e-06,9.498739577158234e-06
6820.0,1939271.8621344601,4084663.5403549704,5162327.385623106,-7306.7597104007855,1375.5383254409603,1674.7236073424933,484.43362838160897,7621.387164505117,8.891427653327765e-13,1.0,0.9999999741304617,0.9999998936038383,-0.0002570973082885371,-7.990645603755007e-05,0.0002976057264898722,-5.804592125467322e-07,5.415283146208831e-07,-1.3107554424847173e-06,1.097891464370142e-05,3.10664818724762e-06,-9.341525936875088e-06,-1.0945713609125716e-05,-3.0538824898720907e-06,9.23607523643091e-06
6830.0,1866086.1273115552,4098166.380374199,5178754.565955763,-7330.163109452446,1325.2087451656569,1610.940524986052,484.56975245428646,7621.194053721728,8.872483597755304e-13,1.0,0.9999999741303097,0.9999998950269786,-0.0002599699099931708,-7.717011769982848e-05,0.0002909760655976692,-5.684806531275629e-07,5.539325325771438e-07,-1.3405110788874564e-06,1.1079484737204052e-05,2.958596240847124e-06,-9.071683545075456e-06,-1.1045603039791519e-05,-2.907214338754364e-06,8.96880194645581e-06
6840.0,1792670.8928001504,4111165.122511159,5194542.938489338,-7352.662921054012,1274.720435160428,1546.9641549686617,484.706720663799,7621.001398452569,8.853462803916963e-13,1.0,0.9999999741301538,0.9999998964526412,-0.0002627820211591224,-7.437261184964564e-05,0.000284199470911586,-5.562623130424511e-07,5.660039905992294e-07,-1.3695253622901218e-06,1.1177348079797477e-05,2.8080561533857785e-06,-8.797327728705508e-06,-1.1142803195924087e-05,-2.7580848113800852e-06,8.697065769693761e-06
6850.0,1719035.2076526163,4123658.2105823257,5209690.609879779,-7374.2565426130395,1224.0796039596744,1482.8023854828475,484.84451924670765,7620.8092318004465,8.83436784409775e-13,1.0,0.9999999741299941,0.9999998978769923,-0.00026553245844628773,-7.151561767023921e-05,0.00027727968526378486,-5.438104944551819e-07,5.777363855098035e-07,-1.3977840628558971e-06,1.1272464879380589e-05,2.6551170151735983e-06,-8.518608139070723e-06,-1.1237274626906608e-05,-2.6065823932052485e-06,8.421014921442504e-06
6860.0,1645188.1463919962,4135644.150566136,5224195.765757605,-7394.941482502196,1173.2924761356549,1418.4631241502004,484.98313417369314,7620.6175864402385,8.815201312351321e-13,1.0,0.9999999741298302,0.9999998992962194,-0.0002682200703232786,-6.86008454774319e-05,0.00027022052161097376,-5.311316183129367e-07,5.89123562488819e-07,-1.4252733633811773e-06,1.1364796758489836e-05,2.499869211309908e-06,-8.23567651988327e-06,-1.1328979280375075e-05,-2.4527968283921745e-06,8.140799692934151e-06
6870.0,1571138.8079013275,4147121.510759045,5238056.670916686,-7414.715360247427,1122.365291555876,1353.9542970758566,485.1225511483308,7620.426494609644,8.795965824074298e-13,1.0,0.9999999741296629,0.9999999007065407,-0.0002708437376472207,-6.563003595663255e-05,0.00026302586095970556,-5.18232218757145e-07,6.001595235880156e-07,-1.451979863773766e-06,1.1454306770791704e-05,2.3424043735913377e-06,-7.948686627876746e-06,-1.1417880520124862e-05,-2.296819072574739e-06,7.856572373380675e-06
